(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions,Session Percentage,Page Views,Page Views Percentage,Featured Offer (Buy Box) Percentage,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B099P2FWQZ,B000U5ECDQ,"Quilted Waterproof Mattress Overlay Pad - Extra Large Flat 36x70 """,SS-DD-WMXL-BG,31,1.01%,37,0.93%,97.30%,12,0,38.71%,0.00%,$311.88,$0.00,9,0
B07VRSV5PP,B07ZTVHR1Y,Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Yellow & 4 Black,SS-PUN-CH-YEBK,21,0.68%,28,0.70%,100.00%,9,1,42.86%,4.76%,$149.31,$16.59,9,1
B097CKZ56R,B08S6CQ659,Rustic Farmhouse Tissue Box Cover - Wooden Brown Square Tissue Holder Easy to Refill - 5” x 6“,SS-CT-TB5x6-BR,40,1.30%,53,1.33%,100.00%,10,0,25.00%,0.00%,$149.90,$0.00,9,0
B08N1KYHTP,B08N1KYHTP,"Crutello Glass Food Storage Containers with Bamboo Lids, 6 Pack - Three 26 Fluid oz and Three 23 Fluid oz Airtight Clear Kitchen Organization Canisters",SS-CT-GCANB-MUL1-6PK,33,1.07%,44,1.10%,95.45%,9,1,27.27%,3.03%,$199.92,$24.99,8,1
B08N2K2CFH,B08N2K2CFH,"Glass Food Storage Containers with Bamboo Lids, 6 Pack - 23 Fluid oz Airtight Clear Kitchen Organization Canisters",SS-CT-GCANB-23-6PK,46,1.50%,50,1.25%,98.00%,8,1,17.39%,2.17%,$215.92,$26.99,8,1
B077YR117R,B01865W7P6,"Organic, Waterproof Natural Quilted Fitted Portable/Mini Crib Pad Cover",SS-DD-ORGANIC-FITTED-MINI-CRIB-182438E,28,0.91%,44,1.10%,100.00%,9,0,32.14%,0.00%,$240.73,$0.00,7,0
B07VRSV5PP,B07ZTVG4YV,Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Yellow & 4 Blue,SS-PUN-CH-BLYE,33,1.07%,40,1.00%,100.00%,8,3,24.24%,9.09%,$131.92,$49.47,7,2
B07VRSV5PP,B07ZTW2VL6,Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Green & 4 Gray,SS-PUN-CH-GNGY,18,0.59%,21,0.53%,100.00%,10,0,55.56%,0.00%,$199.90,$0.00,7,0
B0931828G3,B08L5MS6DG,"Punchau Cornhole Scoreboard, 2 Pack - Metal Decals with 4 Magnetic Score Keepers for Corn Hole Boards",SS-PUN-CHB-SCORE-2PK,22,0.72%,24,0.60%,100.00%,8,0,36.36%,0.00%,$160.16,$0.00,7,0
B091RYJWVF,B08Q8RC116,"Outdoor Glass Beverage Dispenser with Stainless Steel Spigot & Ice Cylinder - 1 Gallon Drink Dispenser for Tea, Lemonade, Cold Water & More",SS-CT-1GALI-SSP-NSD,58,1.89%,71,1.78%,97.18%,8,0,13.79%,0.00%,$278.52,$0.00,7,0
B08N1M4R2P,B08N1M4R2P,"Crutello Glass Food Storage Containers with Bamboo Lids, 3 Pack - 32 Fluid oz Airtight Clear Kitchen Organization Canisters",SS-CT-GCANB-32-3PK,52,1.69%,194,4.86%,35.05%,10,0,19.23%,0.00%,$179.90,$0.00,6,0
B08F2T36VX,B00070QHEQ,"Waterproof Bed Pad, 34 x 52 Inches - Super Absorbent Large Mattress Sheet Protector Underpad",SS-DD-WMOL-FBA-BG,60,1.95%,68,1.70%,100.00%,5,0,8.33%,0.00%,$89.95,$0.00,5,0
B08F2T36VX,B001T4UNNU,"Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Tuck in Tails, 34x36 Inch (Pack of 1)",SS-DD-WMS1-FBA-BG,28,0.91%,35,0.88%,100.00%,6,0,21.43%,0.00%,$95.94,$0.00,5,0
B07VLJCTLQ,B07VMNX4ZS,Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Silver and 4 Black,SS-PUN-CHC-SLBK,17,0.55%,17,0.43%,100.00%,5,0,29.41%,0.00%,$94.95,$0.00,5,0
B07VLJCTLQ,B07VPRC5GN,Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Red and 4 Black,SS-PUN-CHC-REBK,17,0.55%,20,0.50%,100.00%,5,0,29.41%,0.00%,$104.95,$0.00,5,0
B07VRSV5PP,B07VQWHC41,Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Royal Blue and 4 Black,SS-PUN-CH-BLBK,23,0.75%,25,0.63%,100.00%,8,5,34.78%,21.74%,$135.92,$84.95,5,2
B08F2T36VX,B07N1RPQFD,"Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Flat, 17x24 Inch (Pack of 3)",SS-DD-WM17X24-FBA-3PK-BG,30,0.98%,36,0.90%,100.00%,4,0,13.33%,0.00%,$82.58,$0.00,4,0
B08F2T36VX,B07N1X3X5Q,"Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Flat, 17x24 Inch (Pack of 1)",SS-DD-WM17X24-FBA-BG,34,1.11%,40,1.00%,100.00%,4,0,11.76%,0.00%,$35.96,$0.00,4,0
B07VRSV5PP,B07VQWGL3N,Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Orange & 4 Royal Blue,SS-PUN-CH-ORBL,9,0.29%,10,0.25%,100.00%,7,1,77.78%,11.11%,$129.43,$18.49,4,1
B07VRSV5PP,B07VQWH1FX,Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Royal Blue & 4 Gray,SS-PUN-CH-BLGY,14,0.46%,15,0.38%,100.00%,4,0,28.57%,0.00%,$71.96,$0.00,4,0
B07VLJCTLQ,B07VRR4FB3,Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Royal Blue and 4 Black,SS-PUN-CHC-BLBK,12,0.39%,16,0.40%,100.00%,4,0,33.33%,0.00%,$73.96,$0.00,4,0
B08F2T36VX,B08429YPGZ,"Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Flat, 36x70 Inch (Pack of 2)",SS-DD-WMS3-FBA-BG-2PK,12,0.39%,18,0.45%,100.00%,4,0,33.33%,0.00%,$155.96,$0.00,4,0
B097CKWW6X,B08RZBXF14,"Wall Mounted Mail and Key Organizer with Shelf - Weathered White Wooden Mail Organizer with Black Key Rack Hooks, Rustic Farmhouse Design",SS-CT-MO14SHELF-WHT,21,0.68%,27,0.68%,100.00%,4,0,19.05%,0.00%,$80.97,$0.00,4,0
B08XWH2TKP,B08XWH2TKP,"Crutello Glass Food Storage Containers with Bamboo Lids, 3 Pack - 72 Fluid oz Airtight Clear Kitchen Organization Canisters",SS-CT-GCANB-72-3PK,27,0.88%,31,0.78%,93.55%,4,0,14.81%,0.00%,$103.96,$0.00,4,0
B08F2T36VX,B00IOQLNGW,Waterproof Mattress Sheet Protector Bed Underpad - Super Absorbent 24 x 36,SS-DD-WMCP-FBA-BG,19,0.62%,22,0.55%,100.00%,3,0,15.79%,0.00%,$35.60,$0.00,3,0
B099P4ZNQ1,B00KGGT98M,"Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Tuck in Tails, 36x70 Inch (Pack of 1)",SS-DD-WMXL-TUCK-FBA-BG,28,0.91%,38,0.95%,100.00%,3,0,10.71%,0.00%,$74.97,$0.00,3,0
B07VRSV5PP,B07VNNPVND,Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Stars & 4 Stripes,SS-PUN-CH-FLAG,18,0.59%,22,0.55%,77.27%,3,0,16.67%,0.00%,$59.97,$0.00,3,0
B08N1LNDJZ,B08N1LNDJZ,"Crutello Glass Food Storage Containers with Bamboo Lids, 3 Pack - One 32 Fluid oz and Two 23 Fluid oz Airtight Clear Kitchen Organization Canisters",SS-CT-GCANB-MUL3-3PK,22,0.72%,59,1.48%,40.68%,3,0,13.64%,0.00%,$59.97,$0.00,3,0
B08N1LPJ75,B08N1LPJ75,"Crutello Glass Food Storage Containers with Bamboo Lids, 4 Pack - One 54 Fluid oz, One 32 Fluid oz, and Two 23 Fluid oz Airtight Clear Kitchen Organization Canisters",SS-CT-GCANB-MUL2-4PK,25,0.81%,28,0.70%,96.43%,3,0,12.00%,0.00%,$71.97,$0.00,3,0
B08F2T36VX,B00IOQLOXY,"Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Tuck in Tails, 34x52 Inch (Pack of 1)",SS-DD-WMS3-FBA-BG,36,1.17%,41,1.03%,100.00%,3,0,8.33%,0.00%,$60.23,$0.00,2,0
B07VRSV5PP,B07VPRDD67,Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Orange & 4 Black,SS-PUN-CH-ORBK,25,0.81%,31,0.78%,100.00%,3,0,12.00%,0.00%,$53.97,$0.00,2,0
B07VLJCTLQ,B07VPRFWXQ,Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Royal Blue and 4 Gray,SS-PUN-CHC-ORBK,15,0.49%,17,0.43%,100.00%,3,0,20.00%,0.00%,$56.97,$0.00,2,0
B07VLJCTLQ,B07VQW7M26,Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Stars and 4 Stripes,SS-PUN-CHC-BLGY,14,0.46%,16,0.40%,100.00%,2,0,14.29%,0.00%,$36.98,$0.00,2,0
B07VRSV5PP,B07VRSS85Z,Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Red & 4 Gray,SS-PUN-CH-REGR,16,0.52%,21,0.53%,100.00%,3,0,18.75%,0.00%,$55.47,$0.00,2,0
B07VLJCTLQ,B07VRSYZQR,Punchau Cornhole Bean Bags - Corn Filled Set of 8 Bags for Corn Hole Toss Game - Regulation Size & Weight - 4 Red and 4 Gray,SS-PUN-CHC-REGR,18,0.59%,20,0.50%,100.00%,2,0,11.11%,0.00%,$41.98,$0.00,2,0
B07YYJSP4F,B07YYJSP4F,"Dry Defender Waterproof Bed Pads for Incontinence - Absorbent Washable Underpad - Mattress Pads for Kids or Adults - Tuck in Tails, 36x70 Inch (Pack of 2)",SS-WMXL-Tuck-2PK,3,0.10%,3,0.08%,100.00%,2,0,66.67%,0.00%,$61.98,$0.00,2,0
B07VRSV5PP,B07ZTVFS43,Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Navy Blue & 4 Gray,SS-PUN-CH-NBGY,21,0.68%,29,0.73%,100.00%,2,0,9.52%,0.00%,$43.98,$0.00,2,0
B07VRSV5PP,B07ZTVSXX7,Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Navy Blue & 4 Yellow,SS-PUN-CH-NBYE,17,0.55%,18,0.45%,100.00%,2,0,11.76%,0.00%,$38.98,$0.00,2,0
B097CKWW6X,B08RZBDW73,"Wall Mounted Mail and Key Organizer - Wooden Wall Mount Mail Organizer - Weathered White Wood Slats with Black Key Rack Hooks, Decorative Farmhouse Slatted Design",SS-CT-MO14SLAT-WHT,4,0.13%,4,0.10%,100.00%,2,0,50.00%,0.00%,$45.98,$0.00,2,0
B077YR117R,B01865W6R0,"Organic Cotton Waterproof Fitted Crib Pad - Natural Baby Crib Mattress Cover & Protector - Unbleached, Non-Toxic & Hypoallergenic (28"" x 52"" x 7"")",B01865W6R0.missing,120,3.91%,156,3.91%,98.72%,1,0,0.83%,0.00%,$30.99,$0.00,1,0
B07VRSV5PP,B07ZTVQ9VW,Punchau Cornhole Bags - All Weather Set of 8 Corn Hole Bean Bags - Regulation Size & Weight - 4 Stars & 4 Stripes,SS-PUN-CH-STAR,40,1.30%,48,1.20%,0.00%,1,0,2.50%,0.00%,$20.99,$0.00,1,0
B0931828G3,B08L5LLMZ5,Punchau Cornhole Scoreboard - Metal Decal with 2 Magnetic Score Keepers for Corn Hole Boards,SS-PUN-CHB-SCORE,38,1.24%,44,1.10%,95.45%,1,0,2.63%,0.00%,$9.99,$0.00,1,0
B097CKWW6X,B08RZBR4CG,"Wall Mounted Mail and Key Organizer - Rustic White Wooden Mail Organizer with Black Key Rack Hooks, Decorative Farmhouse Design",SS-CT-MO14-WHT,10,0.33%,14,0.35%,100.00%,1,0,10.00%,0.00%,$19.99,$0.00,1,0
