"snapshot-date","sku","fnsku","asin","product-name","condition","avaliable-quantity(sellable)","qty-with-removals-in-progress","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo","qty-to-be-charged-ltsf-12-mo","projected-ltsf-12-mo","units-shipped-last-7-days","units-shipped-last-30-days","units-shipped-last-60-days","units-shipped-last-90-days","alert","your-price","sales_price","lowest_price_new","lowest_price_used","Recommended action","Healthy Inventory Level","Recommended sales price","Recommended sale duration (days)","Recommended Removal Quantity","estimated-cost-savings-of-recommended-actions","sell-through","item-volume","volume-units","storage-type"
"2021-07-17","PL-FL-S14-B25","X00101SQC3","B01E44VDEO","Replacement Bulbs S14 Commercial Grade String Light - 25 Pack - 1.5 Inch Candelabra Screw Base fits E27 and E26 Sockets","New","393","0","393","0","0","0","0","USD","0","0.0","0","0.0","8","91","110","110","Low traffic","16.57","16.57","16.57","0.0","Advertise listing","104","11.553199999999999","364","0","5318.2959270051615","0.497737556561086","88.318497","cubic feet","Standard"
"2021-07-17","PL-IL-LUP8x12-4PK","X002EU9RAT","B082P3KHC7","Heavy Duty Floating Shelf Brackets, 4 Pack, Rustic Iron - 8 x 11.25 Inch Black Metal Shelf Holders for Wall Mount Shelves","New","62","0","62","0","0","0","0","USD","0","0.0","0","0.0","14","50","129","165","Low traffic","15.99","15.99","15.99","0.0","Lower price","65","15.99","0","0","0.0","1.4864864864864864","13.684826","cubic feet","Standard"
"2021-07-17","PL-IFC-162B25-2PK","X002COZANZ","B07ZFZNJGH","25 Ft Black Extension Cord 2 Pack - 16/2 Durable Electrical Cable","New","94","0","94","0","0","0","0","USD","0","0.0","0","0.0","1","16","16","36","","18.78","18.78","18.78","0.0","Improve recommendations","95","19.22","0","0","0.0","1.2743362831858407","7.706308","cubic feet","Standard"
"2021-07-17","PL-IFC-143Y100","X001H87TH7","B073ZNVCXG","100 Foot Lighted Outdoor Extension Cord - 14/3 SJTW Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","New","46","0","46","0","0","0","0","USD","0","0.0","0","0.0","25","234","587","842","","65.99","65.99","65.99","0.0","Improve recommendations","45","65.99","0","0","0.0","3.12430426716141","9.691280","cubic feet","Standard"
"2021-07-17","JOS-PL-PP-B20X20T-RBYG","X001MQBRP9","B06Y174PRX","Play Platoon Kids Activity Table Set - 5 in 1 Water Table, Building Block Table, Craft Table and Sensory Table with Storage - Includes 2 Chairs and 25 Ex-Large Blocks – Primary Colors","Used","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","0","0","0","0","","","","64.97","42.76","Edit listing","1","64.97","0","0","0.0","2.1143330571665286","1.246318","cubic feet","Oversize"
"2021-07-17","PL-IL-CABPT-BK10","X0021T93UH","B07PQ8TR2W","Ilyapa Black Kitchen Cabinet Handles - 3 Inch Hole Center Bar Pulls - 10 Pack of Kitchen Cabinet Hardware","New","45","0","45","0","0","0","0","USD","0","0.0","0","0.0","9","46","64","93","Low traffic","9.99","9.99","9.99","7.03","Lower price","0","0.0","0","0","0.0","1.576271186440678","2.211345","cubic feet","Standard"
"2021-07-17","PL-IL-KNB-PAS-ORB-1PK","X002IFD92R","B087L36BWD","Ilyapa Passage Door Knob for Hall/Closet - Colonial, Oil Rubbed Bronze Interior Keyless Non Locking Round Door Handle, Oil Rubbed Bronze","New","62","0","34","28","0","0","0","USD","0","0.0","0","0.0","5","19","55","77","","17.99","17.99","17.99","0.0","Improve recommendations","65","16.99","0","0","0.0","0.8579387186629527","3.024546","cubic feet","Standard"
"2021-07-17","PL-PP-CHC-SBPK-CP","X002TFHY9Z","B07ZTPKY41","Corn Filled Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight - Sky Blue & Pink","New","79","0","79","0","0","0","0","USD","0","0.0","0","0.0","0","0","0","0","Low conversion","21.99","21.99","21.99","0.0","Lower price","0","0.0","0","0","0.0","0.0","27.828461","cubic feet","Standard"
"2021-07-17","PL-PP-CHC-BLBK-A","X002ILJ7BN","B087YWC5QJ","Corn Filled Cornhole Bags - Set of 8 Bean Bags for Corn Hole Game - Regulation Size & Weight - Blue & Black…","New","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","0","1","1","1","","26.91","26.91","18.49","0.0","Improve recommendations","0","0.0","0","0","0.0","0.1299638989169675","0.291881","cubic feet","Standard"
"2021-07-17","PL-IL-JO17-3SRN-BN","X002OKQ4FZ","B08L9QVJ43","Ilyapa Wall Mounted Jewelry Organizer with Shelf, 3 Piece Rustic Wood - Jewelry Hanger Rack Set - Earring, Bracelet & Necklace Holder","New","38","0","38","0","0","0","0","USD","0","0.0","0","0.0","4","26","61","78","","26.73","26.73","26.73","0.0","Improve recommendations","38","26.12","0","0","0.0","1.4246575342465753","14.488792","cubic feet","Standard"
"2021-07-17","PL-IL-SDH35-.25-B2","X002HF1745","B085K191R1","Ilyapa Self Closing Door Hinges, 2 Pack, Oil Rubbed Bronze- 3 1/2 x 3 1/2 Inch Interior Spring Hinges for Doors - 1/4 Inch Radius","New","164","0","164","0","0","0","0","USD","0","0.0","0","0.0","8","43","63","104","Low traffic","16.99","16.99","16.99","0.0","Lower price","165","16.99","0","0","0.0","0.7577413479052824","1.809740","cubic feet","Standard"
"2021-07-17","PL-PP-CHPRO2-HGYE","X002D1H3ZF","B07ZTN5YR6","Professional Cornhole Bags - Set of 8 Regulation All Weather Two Sided Bean Bags for Pro Corn Hole Game - 4 Hunter Green & 4 Yellow","New","372","0","372","0","0","0","0","USD","0","0.0","0","0.0","50","233","418","503","","27.95","27.95","27.95","21.11","Improve recommendations","390","27.95","0","0","0.0","1.7742504409171076","64.962360","cubic feet","Standard"
"2021-07-17","PL-IL-WP18x22-ESP-2PK6PN","X002KBTUEZ","B08BVWCMM7","Ilyapa Window Frame Wall Decor 2 Pack - Large 18x22 Inch Rustic Espresso Wood 6 Pane Window Country Farmhouse Decorations","New","196","0","196","0","0","0","0","USD","0","0.0","0","0.0","2","6","6","6","","37.2","37.2","37.2","0.0","Create Sale","0","34.6477","364","0","16587.419833674252","0.11162790697674418","102.316900","cubic feet","Oversize"
"2021-07-17","amzn.gr.PL-IL-WP11X15-CHR-2PK--nYRY6w-LN","X002W4PFXZ","B07M65H75B","Ilyapa Window Frame Wall Decor 2 Pack - Rustic Wood Window Pane Country Farmhouse Decorations","Used","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","0","0","0","0","Low conversion","17.09","17.09","17.99","14.35","Lower price","1","17.09","0","0","0.0","1.3768352365415988","0.222063","cubic feet","Standard"
"2021-07-17","PL-IL-DS-FM-B5","X0021T9R5D","B07PQ92PC3","Ilyapa Contemporary Half Dome Heavy Duty Floor Mounted Door Stop with Rubber Bumper - Oil Rubbed Bronze 5 Pack","New","1","0","1","0","0","0","0","USD","0","0.0","0","0.0","3","36","96","177","","","","-1.0","-1.0","Edit listing","0","0.0","0","0","0.0","4.751677852348993","0.023819","cubic feet","Standard"
"2021-07-17","PL-IFC-163W10P3","X0016683DJ","B01JN1JTGW","10 Ft Extension Cord with 3 Electrical Power Outlet - 16/3 Durable White Cable","New","11","0","11","0","0","0","0","USD","0","0.0","0","0.0","21","86","171","235","","7.95","7.95","7.95","0.0","Improve recommendations","18","8.21","0","0","0.0","1.6936936936936937","0.265892","cubic feet","Standard"
