"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Units Ordered - B2B","Unit Session Percentage","Unit Session Percentage - B2B","Ordered Product Sales","Ordered Product Sales - B2B","Total Order Items","Total Order Items - B2B"
"B07HKLFJGV","B073ZMW2QX","10 Foot Lighted Outdoor Extension Cord - 12/3 SJTW Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety - Great for Garden and Major Appliances","PL-IFC-123Y10","66","0.11%","86","0.11%","99%","25","9","37.88%","13.64%","$534.23","$198.23","21","6"
"B07HKG7ZCL","B073ZMWHZJ","50 Foot Lighted Outdoor Extension Cord with 3 Electrical Power Outlets - 12/3 SJTW Heavy Duty Yellow Extension Cable with 3 Prong Grounded Plug for Safety","PL-IFC-123Y50P","117","0.20%","149","0.19%","94%","49","11","41.88%","9.40%","$2,251.17","$526.99","35","6"
"B07DDPBCTW","B07DDPBCTW","Play Platoon 90 mm Bocce Ball Set with 8 Premium Balls, Pallino, Carry Bag & Measuring Rope","PL-PP-BOCEB","151","0.26%","177","0.23%","100%","49","6","32.45%","3.97%","$2,008.51","$245.94","49","6"
"B07V5QL5GJ","B07MTP9LB3","2 Pack of 50 Ft Black Extension Cord - 16/3 Durable Electrical Cable Pack","PL-IFC-163B50-PK2","106","0.18%","142","0.18%","15%","52","41","49.06%","38.68%","$901.49","$508.99","12","6"
"B01LR30Y6S","B07PFXY7G2","Weather Resistant Cornhole Bags - Set of 8 Bright American Flag Bean Bags for Corn Hole Game - Regulation Size & Weight - 4 Stars & 4 Stripes","PL-PP-CH-FLAG","707","1.19%","917","1.19%","99%","242","9","34.23%","1.27%","$4,343.59","$163.43","217","6"
"B01LXCI1Z4","B01IC0U9SW","Ilyapa Office Chair Mat for Hard Floors 36"" x 48"" Heavy Duty Clear, PVC Chair Mat for Hardwood and Tile Floors, Protective Floor Mat for Home or Office","PL-IL-CM36X48RW-RL","339","0.57%","437","0.57%","99%","70","9","20.65%","2.65%","$1,931.37","$255.22","64","5"
"B07HKRM7YL","B01JN1JX36","25 Ft White Extension Cord with 3 Electrical Power Outlet - 16/3 Durable White Cable","PL-IFC-163W25P3","121","0.20%","162","0.21%","100%","79","6","65.29%","4.96%","$1,244.10","$95.70","74","5"
"B01LXCI1Z4","B06XDSMWYF","Ilyapa Office Chair Mat for Hard Floors 47"" x 59"" Heavy Duty Clear, PVC Chair Mat for Hardwood and Tile Floors, Protective Floor Mat for Home or Office","PL-IL-CM59X47RW","182","0.31%","235","0.30%","99%","51","9","28.02%","4.95%","$1,966.83","$345.66","40","5"
"B01LR30Y6S","B077XKPJ9K","Weather Resistant Cornhole Bean Bags Set of 8 - Regulation Size & Weight - Blue & Black","PL-PP-CH-BLBK","228","0.39%","294","0.38%","100%","132","10","57.89%","4.39%","$2,237.40","$169.50","114","5"
"B082P86G1H","B07MKPJM64","Ilyapa White Coat Rack Wall Mount - Wood Wall Mount Coat Rack with Hooks, 4 Metal Hooks - for Hats, Coats, Kitchen, Bedroom, and More - Weathered White","PL-IL-CRH-16WHT","36","0.06%","52","0.07%","98%","14","7","38.89%","19.44%","$204.16","$100.94","10","5"
"B07YGS2KQD","B07YGS2KQD","Play Platoon 38 Pieces 5 in 1 Carnival Outdoor Games Combo Set - Cornhole Bean Bags Ring Toss Games for Kids Family Party and Obstacle Course","PL-PP-CARVL-39PC","71","0.12%","86","0.11%","100%","17","5","23.94%","7.04%","$322.83","$94.95","16","5"
"B07HKNMZ86","B01JN1JJKI","10 Ft Outdoor Extension Cord - 16/3 Durable Black Cable with 3 Prong Grounded Plug for Safety","PL-IFC-163B10","246","0.42%","321","0.42%","99%","226","6","91.87%","2.44%","$2,911.34","$78.19","209","4"
"B07HKNMZ86","B01JN1JNJK","25 Ft Outdoor Extension Cord - 16/3 Durable Black Cable with 3 Prong Grounded Plug for Safety","PL-IFC-163B25","106","0.18%","129","0.17%","98%","96","5","90.57%","4.72%","$1,435.20","$74.75","78","4"
"B07HKX73TT","B01JN1JPAM","25 Ft Extension Cord with 3 Electrical Power Outlet - 16/3 Durable Black Cable","PL-IFC-163B25P3","66","0.11%","87","0.11%","100%","47","6","71.21%","9.09%","$583.87","$74.42","32","4"
"B07M7PPD54","B01KGF5IWS","30 Pack of Menu Covers - Single Page, 2 View, Fits 8.5 x 11 Inch Paper - Restaurant Menu Covers","PL-IL-MC2S-30","44","0.07%","50","0.06%","98%","20","4","45.45%","9.09%","$776.81","$154.48","14","4"
